Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
fe8efae5-eac3-4b0c-997d-54434f170973,"2020-05-23, 11:40:55 PM",Admin_Udacity,UpdateAccountPasswordPolicy,,,,us-east-1,,41.190.14.91
0bf3f808-a31f-4c14-be27-a85b66418637,"2020-05-23, 11:39:31 PM",Admin_Udacity,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,41.190.14.91
491e1b57-c0b0-41bb-8f4a-2c93e54d7310,"2020-05-23, 11:39:31 PM",Admin_Udacity,GetAccountSummary,,,,us-east-1,,41.190.14.91
498eef42-dc46-46dc-b2fb-061f2dbe5832,"2020-05-23, 11:39:31 PM",Admin_Udacity,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,41.190.14.91
4ec3200a-a516-4e9a-8ee5-7d9cf4cf86b1,"2020-05-23, 11:39:31 PM",Admin_Udacity,ListAccessKeys,,,,us-east-1,,41.190.14.91
a55e5cca-16c6-4979-add0-0b97b802ab6e,"2020-05-23, 11:39:31 PM",Admin_Udacity,ListAccountAliases,,,,us-east-1,,41.190.14.91
23df3a36-9d61-446a-8dcf-2df5db8e11e8,"2020-05-23, 11:39:20 PM",Admin_Udacity,ListAccountAliases,,,,us-east-1,,41.190.14.91
477f531b-e581-4c20-b36b-ac6f2c5cabde,"2020-05-23, 11:39:20 PM",Admin_Udacity,GetAccountSummary,,,,us-east-1,,41.190.14.91
a7c18769-0423-413e-a205-64c1534317fc,"2020-05-23, 11:39:20 PM",Admin_Udacity,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,41.190.14.91
b85700f0-13bf-46f5-95ab-d462c29b6b02,"2020-05-23, 11:39:20 PM",Admin_Udacity,ListAccessKeys,,,,us-east-1,,41.190.14.91
2e6cf2f7-9897-4163-91b8-1079e37031a5,"2020-05-23, 11:39:18 PM",Admin_Udacity,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,41.190.14.91
4e651679-d5ef-4bff-9525-c55875f57669,"2020-05-23, 11:39:18 PM",Admin_Udacity,ListAccessKeys,,,,us-east-1,,41.190.14.91
55e7f98f-9951-46ae-94c1-4971477b64b1,"2020-05-23, 11:39:18 PM",Admin_Udacity,GetAccountSummary,,,,us-east-1,,41.190.14.91
cd04a4a9-8dbc-40c4-8c6a-e87e2ef238ad,"2020-05-23, 11:39:18 PM",Admin_Udacity,ListAccountAliases,,,,us-east-1,,41.190.14.91
